csvid,text,label,cleaned_text,text_length,cleaned_word_count,tokens,filtered_text,stopwords_removed,filtered_word_count,tokens_str
204,I feel alienated from others because they can't understand my past,PTSD,i feel alienated from others because they cant understand my past,65,11,"['feel', 'alienated', 'others', 'cant', 'understand', 'past']",feel alienated others cant understand past,5,6,feel alienated others cant understand past
205,I feel a sense of dread if things are not in their proper place,OCD,i feel a sense of dread if things are not in their proper place,63,14,"['feel', 'sense', 'dread', 'things', 'proper', 'place']",feel sense dread things proper place,8,6,feel sense dread things proper place
206,I've been ignoring calls and texts from my friends for weeks,Depression,ive been ignoring calls and texts from my friends for weeks,59,11,"['ive', 'ignoring', 'calls', 'texts', 'friends', 'weeks']",ive ignoring calls texts friends weeks,5,6,ive ignoring calls texts friends weeks
207,"I'm afraid of making a mistake, so I double-check everything",Anxiety,im afraid of making a mistake so i doublecheck everything,57,10,"['im', 'afraid', 'making', 'mistake', 'doublecheck', 'everything']",im afraid making mistake doublecheck everything,4,6,im afraid making mistake doublecheck everything
208,I feel grateful for the good people in my life today,Normal,i feel grateful for the good people in my life today,52,11,"['feel', 'grateful', 'good', 'people', 'life', 'today']",feel grateful good people life today,5,6,feel grateful good people life today
209,I feel restless and can't sit still; I need to be doing something,Bipolar,i feel restless and cant sit still i need to be doing something,63,13,"['feel', 'restless', 'cant', 'sit', 'still', 'need', 'something']",feel restless cant sit still need something,6,7,feel restless cant sit still need something
210,My mind drifts away when people are talking to me,ADHD,my mind drifts away when people are talking to me,49,10,"['mind', 'drifts', 'away', 'people', 'talking']",mind drifts away people talking,5,5,mind drifts away people talking
211,I experience the traumatic event over and over in my mind,PTSD,i experience the traumatic event over and over in my mind,57,11,"['experience', 'traumatic', 'event', 'mind']",experience traumatic event mind,7,4,experience traumatic event mind
212,"I have a fear of losing things, so I hoard useless items",OCD,i have a fear of losing things so i hoard useless items,55,12,"['fear', 'losing', 'things', 'hoard', 'useless', 'items']",fear losing things hoard useless items,6,6,fear losing things hoard useless items
213,"I have trouble making simple decisions, like what to eat",Depression,i have trouble making simple decisions like what to eat,55,10,"['trouble', 'making', 'simple', 'decisions', 'like', 'eat']",trouble making simple decisions like eat,4,6,trouble making simple decisions like eat
214,I feel a sense of impending doom for no apparent reason,Anxiety,i feel a sense of impending doom for no apparent reason,55,11,"['feel', 'sense', 'impending', 'doom', 'apparent', 'reason']",feel sense impending doom apparent reason,5,6,feel sense impending doom apparent reason
215,My energy levels are stable and I feel good,Normal,my energy levels are stable and i feel good,43,9,"['energy', 'levels', 'stable', 'feel', 'good']",energy levels stable feel good,4,5,energy levels stable feel good
216,I get easily annoyed and snap at people during my highs,Bipolar,i get easily annoyed and snap at people during my highs,55,11,"['get', 'easily', 'annoyed', 'snap', 'people', 'highs']",get easily annoyed snap people highs,5,6,get easily annoyed snap people highs
217,I struggle to organize my tasks and prioritize what's important,ADHD,i struggle to organize my tasks and prioritize whats important,62,10,"['struggle', 'organize', 'tasks', 'prioritize', 'whats', 'important']",struggle organize tasks prioritize whats important,4,6,struggle organize tasks prioritize whats important
218,I feel like a different person since the traumatic event,PTSD,i feel like a different person since the traumatic event,56,10,"['feel', 'like', 'different', 'person', 'since', 'traumatic', 'event']",feel like different person since traumatic event,3,7,feel like different person since traumatic event
219,I ask for reassurance about my decisions constantly,OCD,i ask for reassurance about my decisions constantly,51,8,"['ask', 'reassurance', 'decisions', 'constantly']",ask reassurance decisions constantly,4,4,ask reassurance decisions constantly
220,I have persistent thoughts that I am not good enough,Depression,i have persistent thoughts that i am not good enough,52,10,"['persistent', 'thoughts', 'good', 'enough']",persistent thoughts good enough,6,4,persistent thoughts good enough
221,I feel sick to my stomach when I think about my to-do list,Anxiety,i feel sick to my stomach when i think about my todo list,57,13,"['feel', 'sick', 'stomach', 'think', 'todo', 'list']",feel sick stomach think todo list,7,6,feel sick stomach think todo list
222,I feel emotionally and physically healthy,Normal,i feel emotionally and physically healthy,41,6,"['feel', 'emotionally', 'physically', 'healthy']",feel emotionally physically healthy,2,4,feel emotionally physically healthy
223,"I make grand, unrealistic plans when I'm feeling up",Bipolar,i make grand unrealistic plans when im feeling up,49,9,"['make', 'grand', 'unrealistic', 'plans', 'im', 'feeling']",make grand unrealistic plans im feeling,3,6,make grand unrealistic plans im feeling
224,I'm always losing track of time,ADHD,im always losing track of time,30,6,"['im', 'always', 'losing', 'track', 'time']",im always losing track time,1,5,im always losing track time
225,I feel like the world is an unsafe and dangerous place,PTSD,i feel like the world is an unsafe and dangerous place,54,11,"['feel', 'like', 'world', 'unsafe', 'dangerous', 'place']",feel like world unsafe dangerous place,5,6,feel like world unsafe dangerous place
226,I have a compulsion to touch things in a specific order,OCD,i have a compulsion to touch things in a specific order,55,11,"['compulsion', 'touch', 'things', 'specific', 'order']",compulsion touch things specific order,6,5,compulsion touch things specific order
227,I just want to sleep and never wake up,Depression,i just want to sleep and never wake up,38,9,"['want', 'sleep', 'never', 'wake']",want sleep never wake,5,4,want sleep never wake
228,I'm hyper-aware of my heartbeat and breathing when I'm anxious,Anxiety,im hyperaware of my heartbeat and breathing when im anxious,59,10,"['im', 'hyperaware', 'heartbeat', 'breathing', 'im', 'anxious']",im hyperaware heartbeat breathing im anxious,4,6,im hyperaware heartbeat breathing im anxious
229,Life feels manageable and I am in control,Normal,life feels manageable and i am in control,41,8,"['life', 'feels', 'manageable', 'control']",life feels manageable control,4,4,life feels manageable control
230,My thoughts are like a whirlwind I cannot escape from,Bipolar,my thoughts are like a whirlwind i cannot escape from,53,10,"['thoughts', 'like', 'whirlwind', 'escape']",thoughts like whirlwind escape,7,4,thoughts like whirlwind escape
231,I have trouble with tasks that require sustained mental effort,ADHD,i have trouble with tasks that require sustained mental effort,62,10,"['trouble', 'tasks', 'require', 'sustained', 'mental', 'effort']",trouble tasks require sustained mental effort,4,6,trouble tasks require sustained mental effort
232,I lost interest in activities that were once important to me after the event,PTSD,i lost interest in activities that were once important to me after the event,76,14,"['lost', 'interest', 'activities', 'important', 'event']",lost interest activities important event,9,5,lost interest activities important event
233,I am preoccupied with symmetry and exactness,OCD,i am preoccupied with symmetry and exactness,44,7,"['preoccupied', 'symmetry', 'exactness']",preoccupied symmetry exactness,4,3,preoccupied symmetry exactness
234,I feel emotionally numb and can't seem to cry,Depression,i feel emotionally numb and cant seem to cry,44,9,"['feel', 'emotionally', 'numb', 'cant', 'seem', 'cry']",feel emotionally numb cant seem cry,3,6,feel emotionally numb cant seem cry
235,I have an irrational fear of crowded places,Anxiety,i have an irrational fear of crowded places,43,8,"['irrational', 'fear', 'crowded', 'places']",irrational fear crowded places,4,4,irrational fear crowded places
236,I feel mentally strong and capable of handling stress,Normal,i feel mentally strong and capable of handling stress,53,9,"['feel', 'mentally', 'strong', 'capable', 'handling', 'stress']",feel mentally strong capable handling stress,3,6,feel mentally strong capable handling stress
237,"I have periods of intense goal-directed activity, then nothing",Bipolar,i have periods of intense goaldirected activity then nothing,60,9,"['periods', 'intense', 'goaldirected', 'activity', 'nothing']",periods intense goaldirected activity nothing,4,5,periods intense goaldirected activity nothing
238,My thoughts are jumbled and I can't seem to think straight,ADHD,my thoughts are jumbled and i cant seem to think straight,57,11,"['thoughts', 'jumbled', 'cant', 'seem', 'think', 'straight']",thoughts jumbled cant seem think straight,5,6,thoughts jumbled cant seem think straight
239,I push people away to avoid getting hurt again,PTSD,i push people away to avoid getting hurt again,46,9,"['push', 'people', 'away', 'avoid', 'getting', 'hurt']",push people away avoid getting hurt,3,6,push people away avoid getting hurt
240,I have a pathological need to keep things perfectly clean,OCD,i have a pathological need to keep things perfectly clean,57,10,"['pathological', 'need', 'keep', 'things', 'perfectly', 'clean']",pathological need keep things perfectly clean,4,6,pathological need keep things perfectly clean
241,I have unexplained aches and pains all the time,Depression,i have unexplained aches and pains all the time,47,9,"['unexplained', 'aches', 'pains', 'time']",unexplained aches pains time,5,4,unexplained aches pains time
242,I obsess over small details and potential negative outcomes,Anxiety,i obsess over small details and potential negative outcomes,59,9,"['obsess', 'small', 'details', 'potential', 'negative', 'outcomes']",obsess small details potential negative outcomes,3,6,obsess small details potential negative outcomes
243,I feel optimistic about my future,Normal,i feel optimistic about my future,33,6,"['feel', 'optimistic', 'future']",feel optimistic future,3,3,feel optimistic future
244,I take on more than I can handle when I'm manic,Bipolar,i take on more than i can handle when im manic,46,11,"['take', 'handle', 'im', 'manic']",take handle im manic,7,4,take handle im manic
245,I am easily overwhelmed by sensory input like noise and lights,ADHD,i am easily overwhelmed by sensory input like noise and lights,62,11,"['easily', 'overwhelmed', 'sensory', 'input', 'like', 'noise', 'lights']",easily overwhelmed sensory input like noise lights,4,7,easily overwhelmed sensory input like noise lights
246,I struggle with memory problems related to the trauma,PTSD,i struggle with memory problems related to the trauma,53,9,"['struggle', 'memory', 'problems', 'related', 'trauma']",struggle memory problems related trauma,4,5,struggle memory problems related trauma
247,I have to arrange my food on the plate in a very specific way,OCD,i have to arrange my food on the plate in a very specific way,61,14,"['arrange', 'food', 'plate', 'specific', 'way']",arrange food plate specific way,9,5,arrange food plate specific way
248,I feel like I'm moving in slow motion compared to everyone else,Depression,i feel like im moving in slow motion compared to everyone else,62,12,"['feel', 'like', 'im', 'moving', 'slow', 'motion', 'compared', 'everyone', 'else']",feel like im moving slow motion compared everyone else,3,9,feel like im moving slow motion compared everyone else
249,I feel a jolt of panic every time my phone rings unexpectedly,Anxiety,i feel a jolt of panic every time my phone rings unexpectedly,61,12,"['feel', 'jolt', 'panic', 'every', 'time', 'phone', 'rings', 'unexpectedly']",feel jolt panic every time phone rings unexpectedly,4,8,feel jolt panic every time phone rings unexpectedly
250,I am at peace with my choices and my current situation,Normal,i am at peace with my choices and my current situation,54,11,"['peace', 'choices', 'current', 'situation']",peace choices current situation,7,4,peace choices current situation
251,I feel so agitated I could crawl out of my skin,Bipolar,i feel so agitated i could crawl out of my skin,47,11,"['feel', 'agitated', 'could', 'crawl', 'skin']",feel agitated could crawl skin,6,5,feel agitated could crawl skin
252,I struggle to follow step-by-step instructions,ADHD,i struggle to follow stepbystep instructions,44,6,"['struggle', 'follow', 'stepbystep', 'instructions']",struggle follow stepbystep instructions,2,4,struggle follow stepbystep instructions
253,"I have a sense of a foreshortened future, like I won't live long",PTSD,i have a sense of a foreshortened future like i wont live long,62,13,"['sense', 'foreshortened', 'future', 'like', 'wont', 'live', 'long']",sense foreshortened future like wont live long,6,7,sense foreshortened future like wont live long
254,I have superstitious fears about certain numbers or colors,OCD,i have superstitious fears about certain numbers or colors,58,9,"['superstitious', 'fears', 'certain', 'numbers', 'colors']",superstitious fears certain numbers colors,4,5,superstitious fears certain numbers colors
255,I have no motivation to take care of my personal hygiene,Depression,i have no motivation to take care of my personal hygiene,56,11,"['motivation', 'take', 'care', 'personal', 'hygiene']",motivation take care personal hygiene,6,5,motivation take care personal hygiene
256,I'm worried that people can see how anxious I am,Anxiety,im worried that people can see how anxious i am,47,10,"['im', 'worried', 'people', 'see', 'anxious']",im worried people see anxious,5,5,im worried people see anxious
257,I feel a sense of accomplishment from my work today,Normal,i feel a sense of accomplishment from my work today,51,10,"['feel', 'sense', 'accomplishment', 'work', 'today']",feel sense accomplishment work today,5,5,feel sense accomplishment work today
258,"I feel powerful and important, then suddenly feel insignificant",Bipolar,i feel powerful and important then suddenly feel insignificant,62,9,"['feel', 'powerful', 'important', 'suddenly', 'feel', 'insignificant']",feel powerful important suddenly feel insignificant,3,6,feel powerful important suddenly feel insignificant
259,I have a very short temper and get frustrated easily,ADHD,i have a very short temper and get frustrated easily,52,10,"['short', 'temper', 'get', 'frustrated', 'easily']",short temper get frustrated easily,5,5,short temper get frustrated easily
260,I am startled by any unexpected touch,PTSD,i am startled by any unexpected touch,37,7,"['startled', 'unexpected', 'touch']",startled unexpected touch,4,3,startled unexpected touch
261,I avoid stepping on lines on the pavement,OCD,i avoid stepping on lines on the pavement,41,8,"['avoid', 'stepping', 'lines', 'pavement']",avoid stepping lines pavement,4,4,avoid stepping lines pavement
262,I feel like I'm a spectator in my own life,Depression,i feel like im a spectator in my own life,41,10,"['feel', 'like', 'im', 'spectator', 'life']",feel like im spectator life,5,5,feel like im spectator life
263,My thoughts are spiraling out of control with worry,Anxiety,my thoughts are spiraling out of control with worry,51,9,"['thoughts', 'spiraling', 'control', 'worry']",thoughts spiraling control worry,5,4,thoughts spiraling control worry
264,I feel a pleasant sense of focus and productivity,Normal,i feel a pleasant sense of focus and productivity,49,9,"['feel', 'pleasant', 'sense', 'focus', 'productivity']",feel pleasant sense focus productivity,4,5,feel pleasant sense focus productivity
265,My behavior becomes reckless and impulsive when I'm manic,Bipolar,my behavior becomes reckless and impulsive when im manic,56,9,"['behavior', 'becomes', 'reckless', 'impulsive', 'im', 'manic']",behavior becomes reckless impulsive im manic,3,6,behavior becomes reckless impulsive im manic
266,I blurt out things without thinking and regret them later,ADHD,i blurt out things without thinking and regret them later,57,10,"['blurt', 'things', 'without', 'thinking', 'regret', 'later']",blurt things without thinking regret later,4,6,blurt things without thinking regret later
267,I feel like I can never relax or let my guard down,PTSD,i feel like i can never relax or let my guard down,50,12,"['feel', 'like', 'never', 'relax', 'let', 'guard']",feel like never relax let guard,6,6,feel like never relax let guard
268,I have to say a certain phrase in my head to prevent bad things from happening,OCD,i have to say a certain phrase in my head to prevent bad things from happening,78,16,"['say', 'certain', 'phrase', 'head', 'prevent', 'bad', 'things', 'happening']",say certain phrase head prevent bad things happening,8,8,say certain phrase head prevent bad things happening
269,I feel an overwhelming sense of emptiness inside,Depression,i feel an overwhelming sense of emptiness inside,48,8,"['feel', 'overwhelming', 'sense', 'emptiness', 'inside']",feel overwhelming sense emptiness inside,3,5,feel overwhelming sense emptiness inside
270,I am constantly second-guessing my decisions,Anxiety,i am constantly secondguessing my decisions,43,6,"['constantly', 'secondguessing', 'decisions']",constantly secondguessing decisions,3,3,constantly secondguessing decisions
271,I woke up on the right side of the bed today,Normal,i woke up on the right side of the bed today,44,11,"['woke', 'right', 'side', 'bed', 'today']",woke right side bed today,6,5,woke right side bed today
272,I have an inflated sense of self-importance during my highs,Bipolar,i have an inflated sense of selfimportance during my highs,58,10,"['inflated', 'sense', 'selfimportance', 'highs']",inflated sense selfimportance highs,6,4,inflated sense selfimportance highs
273,I'm disorganized and can never find anything,ADHD,im disorganized and can never find anything,43,7,"['im', 'disorganized', 'never', 'find', 'anything']",im disorganized never find anything,2,5,im disorganized never find anything
274,I feel emotionally detached from the people I love,PTSD,i feel emotionally detached from the people i love,50,9,"['feel', 'emotionally', 'detached', 'people', 'love']",feel emotionally detached people love,4,5,feel emotionally detached people love
275,I'm obsessed with keeping things in even numbers,OCD,im obsessed with keeping things in even numbers,47,8,"['im', 'obsessed', 'keeping', 'things', 'even', 'numbers']",im obsessed keeping things even numbers,2,6,im obsessed keeping things even numbers
276,I have a very critical inner voice that puts me down,Depression,i have a very critical inner voice that puts me down,52,11,"['critical', 'inner', 'voice', 'puts']",critical inner voice puts,7,4,critical inner voice puts
277,I feel like I'm going to lose control,Anxiety,i feel like im going to lose control,36,8,"['feel', 'like', 'im', 'going', 'lose', 'control']",feel like im going lose control,2,6,feel like im going lose control
278,I feel a nice balance between work and relaxation,Normal,i feel a nice balance between work and relaxation,49,9,"['feel', 'nice', 'balance', 'work', 'relaxation']",feel nice balance work relaxation,4,5,feel nice balance work relaxation
279,My mood can flip from ecstatic to deeply depressed in an instant,Bipolar,my mood can flip from ecstatic to deeply depressed in an instant,64,12,"['mood', 'flip', 'ecstatic', 'deeply', 'depressed', 'instant']",mood flip ecstatic deeply depressed instant,6,6,mood flip ecstatic deeply depressed instant
280,I have poor time management skills and am always rushing,ADHD,i have poor time management skills and am always rushing,56,10,"['poor', 'time', 'management', 'skills', 'always', 'rushing']",poor time management skills always rushing,4,6,poor time management skills always rushing
281,I am constantly on the lookout for anything that could be a threat,PTSD,i am constantly on the lookout for anything that could be a threat,66,13,"['constantly', 'lookout', 'anything', 'could', 'threat']",constantly lookout anything could threat,8,5,constantly lookout anything could threat
282,"I have a fear that if I don't do my ritual, something bad will happen to my family",OCD,i have a fear that if i dont do my ritual something bad will happen to my family,80,18,"['fear', 'dont', 'ritual', 'something', 'bad', 'happen', 'family']",fear dont ritual something bad happen family,11,7,fear dont ritual something bad happen family
283,I can't remember the last time I felt truly happy,Depression,i cant remember the last time i felt truly happy,48,10,"['cant', 'remember', 'last', 'time', 'felt', 'truly', 'happy']",cant remember last time felt truly happy,3,7,cant remember last time felt truly happy
284,I have a fear of being in situations where escape might be difficult,Anxiety,i have a fear of being in situations where escape might be difficult,68,13,"['fear', 'situations', 'escape', 'might', 'difficult']",fear situations escape might difficult,8,5,fear situations escape might difficult
285,I feel well-rested and mentally prepared for the week,Normal,i feel wellrested and mentally prepared for the week,52,9,"['feel', 'wellrested', 'mentally', 'prepared', 'week']",feel wellrested mentally prepared week,4,5,feel wellrested mentally prepared week
286,I have a decreased need for sleep during manic episodes,Bipolar,i have a decreased need for sleep during manic episodes,55,10,"['decreased', 'need', 'sleep', 'manic', 'episodes']",decreased need sleep manic episodes,5,5,decreased need sleep manic episodes
287,I make careless mistakes in my work because I rush through it,ADHD,i make careless mistakes in my work because i rush through it,61,12,"['make', 'careless', 'mistakes', 'work', 'rush']",make careless mistakes work rush,7,5,make careless mistakes work rush
288,I have difficulty feeling positive emotions like love or happiness,PTSD,i have difficulty feeling positive emotions like love or happiness,66,10,"['difficulty', 'feeling', 'positive', 'emotions', 'like', 'love', 'happiness']",difficulty feeling positive emotions like love happiness,3,7,difficulty feeling positive emotions like love happiness
289,I have to wash my hands until they feel raw,OCD,i have to wash my hands until they feel raw,43,10,"['wash', 'hands', 'feel', 'raw']",wash hands feel raw,6,4,wash hands feel raw
290,I feel physically and emotionally drained for no reason,Depression,i feel physically and emotionally drained for no reason,55,9,"['feel', 'physically', 'emotionally', 'drained', 'reason']",feel physically emotionally drained reason,4,5,feel physically emotionally drained reason
291,I feel a constant sense of unease that I can't shake,Anxiety,i feel a constant sense of unease that i cant shake,51,11,"['feel', 'constant', 'sense', 'unease', 'cant', 'shake']",feel constant sense unease cant shake,5,6,feel constant sense unease cant shake
292,I am enjoying a peaceful and uneventful day,Normal,i am enjoying a peaceful and uneventful day,43,8,"['enjoying', 'peaceful', 'uneventful', 'day']",enjoying peaceful uneventful day,4,4,enjoying peaceful uneventful day
293,I engage in risky behaviors when I'm in a high mood,Bipolar,i engage in risky behaviors when im in a high mood,50,11,"['engage', 'risky', 'behaviors', 'im', 'high', 'mood']",engage risky behaviors im high mood,5,6,engage risky behaviors im high mood
294,I have a hard time waiting my turn in conversations or lines,ADHD,i have a hard time waiting my turn in conversations or lines,60,12,"['hard', 'time', 'waiting', 'turn', 'conversations', 'lines']",hard time waiting turn conversations lines,6,6,hard time waiting turn conversations lines
295,"I have recurring, distressing dreams about the event",PTSD,i have recurring distressing dreams about the event,51,8,"['recurring', 'distressing', 'dreams', 'event']",recurring distressing dreams event,4,4,recurring distressing dreams event
296,I have intrusive violent or horrific images in my mind,OCD,i have intrusive violent or horrific images in my mind,54,10,"['intrusive', 'violent', 'horrific', 'images', 'mind']",intrusive violent horrific images mind,5,5,intrusive violent horrific images mind
297,I find it hard to get excited about future events,Depression,i find it hard to get excited about future events,49,10,"['find', 'hard', 'get', 'excited', 'future', 'events']",find hard get excited future events,4,6,find hard get excited future events
298,I have trouble swallowing and feel a lump in my throat from anxiety,Anxiety,i have trouble swallowing and feel a lump in my throat from anxiety,67,13,"['trouble', 'swallowing', 'feel', 'lump', 'throat', 'anxiety']",trouble swallowing feel lump throat anxiety,7,6,trouble swallowing feel lump throat anxiety
299,I feel a strong sense of well-being,Normal,i feel a strong sense of wellbeing,34,7,"['feel', 'strong', 'sense', 'wellbeing']",feel strong sense wellbeing,3,4,feel strong sense wellbeing
300,My thoughts are so loud that I can't hear what people are saying,Bipolar,my thoughts are so loud that i cant hear what people are saying,63,13,"['thoughts', 'loud', 'cant', 'hear', 'people', 'saying']",thoughts loud cant hear people saying,7,6,thoughts loud cant hear people saying
301,I often lose my train of thought mid-sentence,ADHD,i often lose my train of thought midsentence,44,8,"['often', 'lose', 'train', 'thought', 'midsentence']",often lose train thought midsentence,3,5,often lose train thought midsentence
302,I feel permanently damaged by my past experiences,PTSD,i feel permanently damaged by my past experiences,49,8,"['feel', 'permanently', 'damaged', 'past', 'experiences']",feel permanently damaged past experiences,3,5,feel permanently damaged past experiences
303,I have to check that all appliances are unplugged multiple times,OCD,i have to check that all appliances are unplugged multiple times,64,11,"['check', 'appliances', 'unplugged', 'multiple', 'times']",check appliances unplugged multiple times,6,5,check appliances unplugged multiple times
304,I feel like I'm walking through mud every day,Depression,i feel like im walking through mud every day,44,9,"['feel', 'like', 'im', 'walking', 'mud', 'every', 'day']",feel like im walking mud every day,2,7,feel like im walking mud every day
305,My mind gets stuck on one worry and I can't move on,Anxiety,my mind gets stuck on one worry and i cant move on,50,12,"['mind', 'gets', 'stuck', 'one', 'worry', 'cant', 'move']",mind gets stuck one worry cant move,5,7,mind gets stuck one worry cant move
306,I feel productive and satisfied with my day's work,Normal,i feel productive and satisfied with my days work,49,9,"['feel', 'productive', 'satisfied', 'days', 'work']",feel productive satisfied days work,4,5,feel productive satisfied days work
307,"One minute I'm writing a novel, the next I'm unable to write a sentence",Bipolar,one minute im writing a novel the next im unable to write a sentence,68,14,"['one', 'minute', 'im', 'writing', 'novel', 'next', 'im', 'unable', 'write', 'sentence']",one minute im writing novel next im unable write sentence,4,10,one minute im writing novel next im unable write sentence
308,"I find it hard to relax, I always feel like I should be doing something",ADHD,i find it hard to relax i always feel like i should be doing something,70,15,"['find', 'hard', 'relax', 'always', 'feel', 'like', 'something']",find hard relax always feel like something,8,7,find hard relax always feel like something
309,"I feel disconnected from reality, like I'm in a dream",PTSD,i feel disconnected from reality like im in a dream,51,10,"['feel', 'disconnected', 'reality', 'like', 'im', 'dream']",feel disconnected reality like im dream,4,6,feel disconnected reality like im dream
310,I feel the need to confess every little thing I do wrong,OCD,i feel the need to confess every little thing i do wrong,56,12,"['feel', 'need', 'confess', 'every', 'little', 'thing', 'wrong']",feel need confess every little thing wrong,5,7,feel need confess every little thing wrong
311,My self-worth is extremely low right now,Depression,my selfworth is extremely low right now,39,7,"['selfworth', 'extremely', 'low', 'right']",selfworth extremely low right,3,4,selfworth extremely low right
312,"I'm sweating and my heart is pounding, but there's no danger",Anxiety,im sweating and my heart is pounding but theres no danger,57,11,"['im', 'sweating', 'heart', 'pounding', 'theres', 'danger']",im sweating heart pounding theres danger,5,6,im sweating heart pounding theres danger
313,I feel a quiet confidence in my abilities,Normal,i feel a quiet confidence in my abilities,41,8,"['feel', 'quiet', 'confidence', 'abilities']",feel quiet confidence abilities,4,4,feel quiet confidence abilities
314,I have racing thoughts and am easily distracted during manic phases,Bipolar,i have racing thoughts and am easily distracted during manic phases,67,11,"['racing', 'thoughts', 'easily', 'distracted', 'manic', 'phases']",racing thoughts easily distracted manic phases,5,6,racing thoughts easily distracted manic phases
315,"I am forgetful in daily activities, like paying bills",ADHD,i am forgetful in daily activities like paying bills,52,9,"['forgetful', 'daily', 'activities', 'like', 'paying', 'bills']",forgetful daily activities like paying bills,3,6,forgetful daily activities like paying bills
316,"I feel like an observer of my own life, not a participant",PTSD,i feel like an observer of my own life not a participant,56,12,"['feel', 'like', 'observer', 'life', 'participant']",feel like observer life participant,7,5,feel like observer life participant
317,I have to keep things in a certain order or I get very distressed,OCD,i have to keep things in a certain order or i get very distressed,65,14,"['keep', 'things', 'certain', 'order', 'get', 'distressed']",keep things certain order get distressed,8,6,keep things certain order get distressed
318,I've isolated myself from friends and family,Depression,ive isolated myself from friends and family,43,7,"['ive', 'isolated', 'friends', 'family']",ive isolated friends family,3,4,ive isolated friends family
319,I'm irritable and snappy because of my constant anxiety,Anxiety,im irritable and snappy because of my constant anxiety,54,9,"['im', 'irritable', 'snappy', 'constant', 'anxiety']",im irritable snappy constant anxiety,4,5,im irritable snappy constant anxiety
320,I feel inspired and creatively energized today,Normal,i feel inspired and creatively energized today,46,7,"['feel', 'inspired', 'creatively', 'energized', 'today']",feel inspired creatively energized today,2,5,feel inspired creatively energized today
321,My judgment is impaired when I'm manic; I make bad choices,Bipolar,my judgment is impaired when im manic i make bad choices,56,11,"['judgment', 'impaired', 'im', 'manic', 'make', 'bad', 'choices']",judgment impaired im manic make bad choices,4,7,judgment impaired im manic make bad choices
322,I avoid tasks that require a lot of thought or concentration,ADHD,i avoid tasks that require a lot of thought or concentration,60,11,"['avoid', 'tasks', 'require', 'lot', 'thought', 'concentration']",avoid tasks require lot thought concentration,5,6,avoid tasks require lot thought concentration
323,I am unable to recall important aspects of the trauma,PTSD,i am unable to recall important aspects of the trauma,53,10,"['unable', 'recall', 'important', 'aspects', 'trauma']",unable recall important aspects trauma,5,5,unable recall important aspects trauma
324,I'm terrified I will accidentally harm someone,OCD,im terrified i will accidentally harm someone,45,7,"['im', 'terrified', 'accidentally', 'harm', 'someone']",im terrified accidentally harm someone,2,5,im terrified accidentally harm someone
325,I feel profound sadness that weighs me down,Depression,i feel profound sadness that weighs me down,43,8,"['feel', 'profound', 'sadness', 'weighs']",feel profound sadness weighs,4,4,feel profound sadness weighs
326,I have a persistent fear of embarrassing myself,Anxiety,i have a persistent fear of embarrassing myself,47,8,"['persistent', 'fear', 'embarrassing']",persistent fear embarrassing,5,3,persistent fear embarrassing
327,I am content with my life as it is right now,Normal,i am content with my life as it is right now,44,11,"['content', 'life', 'right']",content life right,8,3,content life right
328,I swing between overconfidence and crippling self-doubt,Bipolar,i swing between overconfidence and crippling selfdoubt,54,7,"['swing', 'overconfidence', 'crippling', 'selfdoubt']",swing overconfidence crippling selfdoubt,3,4,swing overconfidence crippling selfdoubt
329,I have difficulty sustaining attention in tasks or play activities,ADHD,i have difficulty sustaining attention in tasks or play activities,66,10,"['difficulty', 'sustaining', 'attention', 'tasks', 'play', 'activities']",difficulty sustaining attention tasks play activities,4,6,difficulty sustaining attention tasks play activities
330,My emotional reactions are much stronger since the event,PTSD,my emotional reactions are much stronger since the event,56,9,"['emotional', 'reactions', 'much', 'stronger', 'since', 'event']",emotional reactions much stronger since event,3,6,emotional reactions much stronger since event
331,"I clean my house for hours every day, even when it's already clean",OCD,i clean my house for hours every day even when its already clean,64,13,"['clean', 'house', 'hours', 'every', 'day', 'even', 'already', 'clean']",clean house hours every day even already clean,5,8,clean house hours every day even already clean
332,I have no energy for basic self-care,Depression,i have no energy for basic selfcare,35,7,"['energy', 'basic', 'selfcare']",energy basic selfcare,4,3,energy basic selfcare
333,I feel shaky and unsteady on my feet from nerves,Anxiety,i feel shaky and unsteady on my feet from nerves,48,10,"['feel', 'shaky', 'unsteady', 'feet', 'nerves']",feel shaky unsteady feet nerves,5,5,feel shaky unsteady feet nerves
334,I feel a sense of clarity and purpose,Normal,i feel a sense of clarity and purpose,37,8,"['feel', 'sense', 'clarity', 'purpose']",feel sense clarity purpose,4,4,feel sense clarity purpose
335,"My mood is elevated and expansive, I feel giddy",Bipolar,my mood is elevated and expansive i feel giddy,46,9,"['mood', 'elevated', 'expansive', 'feel', 'giddy']",mood elevated expansive feel giddy,4,5,mood elevated expansive feel giddy
336,I have a messy and disorganized lifestyle,ADHD,i have a messy and disorganized lifestyle,41,7,"['messy', 'disorganized', 'lifestyle']",messy disorganized lifestyle,4,3,messy disorganized lifestyle
337,I try to stay busy to avoid thinking about the past,PTSD,i try to stay busy to avoid thinking about the past,51,11,"['try', 'stay', 'busy', 'avoid', 'thinking', 'past']",try stay busy avoid thinking past,5,6,try stay busy avoid thinking past
