csvid,text,label,text_length,cleaned_text,cleaned_word_count
306,I feel productive and satisfied with my day's work,Normal,49,i feel productive and satisfied with my days work,9
307,"One minute I'm writing a novel, the next I'm unable to write a sentence",Bipolar,68,one minute im writing a novel the next im unable to write a sentence,14
308,"I find it hard to relax, I always feel like I should be doing something",ADHD,70,i find it hard to relax i always feel like i should be doing something,15
309,"I feel disconnected from reality, like I'm in a dream",PTSD,51,i feel disconnected from reality like im in a dream,10
310,I feel the need to confess every little thing I do wrong,OCD,56,i feel the need to confess every little thing i do wrong,12
311,My self-worth is extremely low right now,Depression,39,my selfworth is extremely low right now,7
312,"I'm sweating and my heart is pounding, but there's no danger",Anxiety,57,im sweating and my heart is pounding but theres no danger,11
313,I feel a quiet confidence in my abilities,Normal,41,i feel a quiet confidence in my abilities,8
314,I have racing thoughts and am easily distracted during manic phases,Bipolar,67,i have racing thoughts and am easily distracted during manic phases,11
315,"I am forgetful in daily activities, like paying bills",ADHD,52,i am forgetful in daily activities like paying bills,9
316,"I feel like an observer of my own life, not a participant",PTSD,56,i feel like an observer of my own life not a participant,12
317,I have to keep things in a certain order or I get very distressed,OCD,65,i have to keep things in a certain order or i get very distressed,14
318,I've isolated myself from friends and family,Depression,43,ive isolated myself from friends and family,7
319,I'm irritable and snappy because of my constant anxiety,Anxiety,54,im irritable and snappy because of my constant anxiety,9
320,I feel inspired and creatively energized today,Normal,46,i feel inspired and creatively energized today,7
321,My judgment is impaired when I'm manic; I make bad choices,Bipolar,56,my judgment is impaired when im manic i make bad choices,11
322,I avoid tasks that require a lot of thought or concentration,ADHD,60,i avoid tasks that require a lot of thought or concentration,11
323,I am unable to recall important aspects of the trauma,PTSD,53,i am unable to recall important aspects of the trauma,10
324,I'm terrified I will accidentally harm someone,OCD,45,im terrified i will accidentally harm someone,7
325,I feel profound sadness that weighs me down,Depression,43,i feel profound sadness that weighs me down,8
326,I have a persistent fear of embarrassing myself,Anxiety,47,i have a persistent fear of embarrassing myself,8
327,I am content with my life as it is right now,Normal,44,i am content with my life as it is right now,11
328,I swing between overconfidence and crippling self-doubt,Bipolar,54,i swing between overconfidence and crippling selfdoubt,7
329,I have difficulty sustaining attention in tasks or play activities,ADHD,66,i have difficulty sustaining attention in tasks or play activities,10
330,My emotional reactions are much stronger since the event,PTSD,56,my emotional reactions are much stronger since the event,9
331,"I clean my house for hours every day, even when it's already clean",OCD,64,i clean my house for hours every day even when its already clean,13
332,I have no energy for basic self-care,Depression,35,i have no energy for basic selfcare,7
333,I feel shaky and unsteady on my feet from nerves,Anxiety,48,i feel shaky and unsteady on my feet from nerves,10
334,I feel a sense of clarity and purpose,Normal,37,i feel a sense of clarity and purpose,8
335,"My mood is elevated and expansive, I feel giddy",Bipolar,46,my mood is elevated and expansive i feel giddy,9
336,I have a messy and disorganized lifestyle,ADHD,41,i have a messy and disorganized lifestyle,7
337,I try to stay busy to avoid thinking about the past,PTSD,51,i try to stay busy to avoid thinking about the past,11
338,I am obsessed with the idea that I might get sick,OCD,49,i am obsessed with the idea that i might get sick,11
339,I think about death and dying a lot,Depression,35,i think about death and dying a lot,8
340,I experience sudden and intense waves of panic,Anxiety,46,i experience sudden and intense waves of panic,8
341,I feel emotionally balanced and not easily upset,Normal,48,i feel emotionally balanced and not easily upset,8
342,I'm very talkative and need to be the center of attention during highs,Bipolar,69,im very talkative and need to be the center of attention during highs,13
343,I often fail to give close attention to details,ADHD,47,i often fail to give close attention to details,9
344,I have a hard time sleeping because I'm afraid to have nightmares,PTSD,64,i have a hard time sleeping because im afraid to have nightmares,12
345,I have a need for things to be 'just right',OCD,41,i have a need for things to be just right,10
346,I feel completely hopeless about my situation ever improving,Depression,60,i feel completely hopeless about my situation ever improving,9
347,"I feel detached from my body, like it's not my own",Anxiety,48,i feel detached from my body like its not my own,11
348,I'm taking things one step at a time and feel good about it,Normal,58,im taking things one step at a time and feel good about it,13
349,My thoughts jump from one topic to another without connection,Bipolar,61,my thoughts jump from one topic to another without connection,10
350,"I lose things necessary for tasks, like my wallet or glasses",ADHD,59,i lose things necessary for tasks like my wallet or glasses,11
351,I have a strong urge to run away or escape my current life,PTSD,58,i have a strong urge to run away or escape my current life,13
352,I am excessively concerned with morality and doing the 'right' thing,OCD,66,i am excessively concerned with morality and doing the right thing,11
353,I see no future for myself,Depression,26,i see no future for myself,6
354,"I feel like I'm on a constant, high-strung alert",Anxiety,45,i feel like im on a constant highstrung alert,9
355,I feel secure and happy in my relationships,Normal,43,i feel secure and happy in my relationships,8
356,I become more sexually driven and promiscuous when manic,Bipolar,56,i become more sexually driven and promiscuous when manic,9
357,"I can't seem to get my life in order, no matter how hard I try",ADHD,60,i cant seem to get my life in order no matter how hard i try,15
358,I am easily startled by things that wouldn't bother others,PTSD,57,i am easily startled by things that wouldnt bother others,10
359,I have to check and recheck my work for mistakes endlessly,OCD,58,i have to check and recheck my work for mistakes endlessly,11
360,It takes all my energy just to pretend that I'm okay,Depression,51,it takes all my energy just to pretend that im okay,11
361,My throat feels tight like I can't breathe when I get anxious,Anxiety,60,my throat feels tight like i cant breathe when i get anxious,12
362,I feel mentally and emotionally recharged today,Normal,47,i feel mentally and emotionally recharged today,7
363,I experience irritability that can lead to arguments or fights,Bipolar,62,i experience irritability that can lead to arguments or fights,10
364,I start projects with enthusiasm but quickly lose interest,ADHD,58,i start projects with enthusiasm but quickly lose interest,9
365,"I have persistent negative beliefs about myself, like 'I am bad'",PTSD,61,i have persistent negative beliefs about myself like i am bad,11
366,I collect and hoard things with no apparent value,OCD,49,i collect and hoard things with no apparent value,9
367,I feel like I'm in a dark hole I can't climb out of,Depression,49,i feel like im in a dark hole i cant climb out of,13
368,"I need to know what will happen, the uncertainty is killing me",Anxiety,61,i need to know what will happen the uncertainty is killing me,12
369,I'm not worried about the future; I'm enjoying the present,Normal,55,im not worried about the future im enjoying the present,10
370,I feel a decreased need for food during my lows,Bipolar,47,i feel a decreased need for food during my lows,10
371,I have difficulty listening when spoken to directly,ADHD,51,i have difficulty listening when spoken to directly,8
372,"I have a distorted sense of blame, either blaming myself or others for the trauma",PTSD,80,i have a distorted sense of blame either blaming myself or others for the trauma,15
373,I have unwanted sexual thoughts that cause me great distress,OCD,60,i have unwanted sexual thoughts that cause me great distress,10
374,"I feel utterly alone, even when I'm surrounded by people",Depression,54,i feel utterly alone even when im surrounded by people,10
375,I have a phobia of something specific that I think about constantly,Anxiety,67,i have a phobia of something specific that i think about constantly,12
376,I feel like I can handle whatever comes my way,Normal,46,i feel like i can handle whatever comes my way,10
377,My depression phase is marked by intense lethargy and sadness,Bipolar,61,my depression phase is marked by intense lethargy and sadness,10
378,I have a hard time relaxing and am always 'on the go',ADHD,51,i have a hard time relaxing and am always on the go,12
379,I have lost faith in humanity and see the world as dangerous,PTSD,60,i have lost faith in humanity and see the world as dangerous,12
380,I have to repeat a prayer every time I have a bad thought,OCD,57,i have to repeat a prayer every time i have a bad thought,13
381,Waking up in the morning is the hardest part of my day,Depression,54,waking up in the morning is the hardest part of my day,12
382,I am so tense that I have frequent headaches,Anxiety,44,i am so tense that i have frequent headaches,9
383,I feel in sync with my body and mind,Normal,36,i feel in sync with my body and mind,9
384,I cycle between feeling like a genius and feeling like an idiot,Bipolar,63,i cycle between feeling like a genius and feeling like an idiot,12
385,I am very sensitive to criticism and rejection,ADHD,46,i am very sensitive to criticism and rejection,8
386,"I have vivid, intrusive memories of the event that feel like they're happening now",PTSD,80,i have vivid intrusive memories of the event that feel like theyre happening now,14
387,I am afraid I will lose control and act on an unwanted impulse,OCD,62,i am afraid i will lose control and act on an unwanted impulse,13
388,The sound of other people laughing makes me feel worse,Depression,54,the sound of other people laughing makes me feel worse,10
389,"I feel restless and fidgety, like I need to pace",Anxiety,47,i feel restless and fidgety like i need to pace,10
390,I feel my life has meaning and purpose,Normal,38,i feel my life has meaning and purpose,8
391,"I'm either flying high or sinking low, with no in-between",Bipolar,54,im either flying high or sinking low with no inbetween,10
392,I often act on the spur of the moment,ADHD,37,i often act on the spur of the moment,9
393,"I feel a constant sense of threat, even in safe places",PTSD,53,i feel a constant sense of threat even in safe places,11
394,My rituals take up so much time that they interfere with my life,OCD,64,my rituals take up so much time that they interfere with my life,13
395,I have difficulty experiencing pleasure from anything,Depression,53,i have difficulty experiencing pleasure from anything,7
396,I get overwhelmed in busy places like supermarkets,Anxiety,50,i get overwhelmed in busy places like supermarkets,8
397,I feel centered and calm,Normal,24,i feel centered and calm,5
398,My family says it's like living with two different people,Bipolar,56,my family says its like living with two different people,10
399,I struggle to keep my emotions in check; they're often too intense,ADHD,64,i struggle to keep my emotions in check theyre often too intense,12
400,I see the world in black and white since the trauma,PTSD,51,i see the world in black and white since the trauma,11
401,I can't throw things away because I'm worried I might need them someday,OCD,69,i cant throw things away because im worried i might need them someday,13
402,I've been neglecting my responsibilities because I don't have the energy,Depression,70,ive been neglecting my responsibilities because i dont have the energy,11
403,I have a churning feeling in my stomach all day from worry,Anxiety,58,i have a churning feeling in my stomach all day from worry,12
404,I feel clear-headed and ready to learn new things,Normal,48,i feel clearheaded and ready to learn new things,9
405,My mind moves too quickly for me to keep up with it,Bipolar,51,my mind moves too quickly for me to keep up with it,12
406,I am restless and have an abundance of energy that I can't channel,ADHD,65,i am restless and have an abundance of energy that i cant channel,13
407,I have a hard time connecting with others since my experience,PTSD,61,i have a hard time connecting with others since my experience,11
408,I repeatedly check to make sure I haven't hurt someone by accident,OCD,65,i repeatedly check to make sure i havent hurt someone by accident,12
409,I feel like I'm a disappointment to everyone,Depression,43,i feel like im a disappointment to everyone,8
410,I'm afraid people will leave me if I show them my anxiety,Anxiety,56,im afraid people will leave me if i show them my anxiety,12
411,I feel good about who I am and the person I'm becoming,Normal,53,i feel good about who i am and the person im becoming,12
412,"I get into grandiose thinking, believing I have special powers",Bipolar,61,i get into grandiose thinking believing i have special powers,10
413,I have difficulty managing my frustration,ADHD,41,i have difficulty managing my frustration,6
414,I am always on guard for potential harm,PTSD,39,i am always on guard for potential harm,8
415,I feel I have to do things perfectly or not at all,OCD,50,i feel i have to do things perfectly or not at all,12
416,I have a persistent feeling of sadness that won't go away,Depression,56,i have a persistent feeling of sadness that wont go away,11
417,I feel like I'm always on the verge of a panic attack,Anxiety,52,i feel like im always on the verge of a panic attack,12
418,I am happy with my social life and connections,Normal,46,i am happy with my social life and connections,9
419,I will feel intensely happy and then crash into a depressive state,Bipolar,66,i will feel intensely happy and then crash into a depressive state,12
420,My attention is easily drawn to irrelevant noises or sights,ADHD,59,my attention is easily drawn to irrelevant noises or sights,10
421,I can't stop replaying the traumatic event in my mind,PTSD,52,i cant stop replaying the traumatic event in my mind,10
422,I have a need for everything to be symmetrical and balanced,OCD,59,i have a need for everything to be symmetrical and balanced,11
423,I've lost all my self-confidence,Depression,30,ive lost all my selfconfidence,5
424,I'm always worried about things that I have no control over,Anxiety,58,im always worried about things that i have no control over,11
425,I feel mentally resilient today,Normal,31,i feel mentally resilient today,5
426,I have days where I feel on top of the world followed by days of despair,Bipolar,72,i have days where i feel on top of the world followed by days of despair,16
427,I am not good at planning for the future,ADHD,40,i am not good at planning for the future,9
428,I feel like no one can understand what I've been through,PTSD,55,i feel like no one can understand what ive been through,11
429,I am plagued by doubts about my memory and perception,OCD,53,i am plagued by doubts about my memory and perception,10
430,"My body feels heavy, like it's made of lead",Depression,41,my body feels heavy like its made of lead,9
431,I am constantly tense and can never fully relax,Anxiety,47,i am constantly tense and can never fully relax,9
432,I am making good progress towards my goals,Normal,42,i am making good progress towards my goals,8
433,My energy levels are either extremely high or extremely low,Bipolar,59,my energy levels are either extremely high or extremely low,10
434,I have a history of academic and professional underachievement,ADHD,62,i have a history of academic and professional underachievement,9
435,I feel like the trauma has stolen my future,PTSD,43,i feel like the trauma has stolen my future,9
436,I have obsessive thoughts about religion and sin,OCD,48,i have obsessive thoughts about religion and sin,8
437,I don't see any hope for things getting better,Depression,45,i dont see any hope for things getting better,9
438,I get short of breath when I'm in a stressful situation,Anxiety,54,i get short of breath when im in a stressful situation,11
439,I am in a good mood and it's infectious,Normal,38,i am in a good mood and its infectious,9
440,My thinking becomes disorganized and illogical during a manic episode,Bipolar,69,my thinking becomes disorganized and illogical during a manic episode,10
441,I have trouble completing the final details of a project,ADHD,56,i have trouble completing the final details of a project,10
442,I engage in self-destructive behavior to cope with the memories,PTSD,62,i engage in selfdestructive behavior to cope with the memories,10
443,I have to tell myself 'don't think that' over and over again,OCD,57,i have to tell myself dont think that over and over again,12
444,"I have trouble sleeping, either too much or too little",Depression,53,i have trouble sleeping either too much or too little,10
445,I feel like I'm always on the brink of disaster,Anxiety,46,i feel like im always on the brink of disaster,10
446,I feel my life is in a good place right now,Normal,43,i feel my life is in a good place right now,11
447,I feel so agitated and full of energy I can't sleep for days,Bipolar,59,i feel so agitated and full of energy i cant sleep for days,13
448,I am easily bored and crave constant stimulation,ADHD,48,i am easily bored and crave constant stimulation,8
449,I have trouble concentrating since the event happened,PTSD,53,i have trouble concentrating since the event happened,8
450,I have a fear of saying the wrong thing and offending someone,OCD,61,i have a fear of saying the wrong thing and offending someone,12
451,I feel irritable and everything gets on my nerves,Depression,49,i feel irritable and everything gets on my nerves,9
452,"I experience a sense of derealization, where the world feels unreal",Anxiety,66,i experience a sense of derealization where the world feels unreal,11
453,I am proud of my ability to overcome challenges,Normal,47,i am proud of my ability to overcome challenges,9
454,My mind is flooded with creative ideas during my highs,Bipolar,54,my mind is flooded with creative ideas during my highs,10
455,I struggle with tasks that are tedious or repetitive,ADHD,52,i struggle with tasks that are tedious or repetitive,9
456,I have a persistent and exaggerated negative state of mind,PTSD,58,i have a persistent and exaggerated negative state of mind,10
457,I have to organize things until they feel 'just so',OCD,49,i have to organize things until they feel just so,10
458,I've lost interest in my appearance and personal grooming,Depression,56,ive lost interest in my appearance and personal grooming,9
459,I'm afraid of being alone because my thoughts get too loud,Anxiety,57,im afraid of being alone because my thoughts get too loud,11
460,I am enjoying a hobby that makes me feel fulfilled,Normal,50,i am enjoying a hobby that makes me feel fulfilled,10
461,I go through periods of being extremely social and then completely withdrawn,Bipolar,76,i go through periods of being extremely social and then completely withdrawn,12
462,I'm a thrill-seeker and often engage in risky activities,ADHD,54,im a thrillseeker and often engage in risky activities,9
463,I feel like there's a wall between me and the rest of the world,PTSD,62,i feel like theres a wall between me and the rest of the world,14
464,I'm extremely particular about how my food is prepared and served,OCD,64,im extremely particular about how my food is prepared and served,11
465,I feel a deep sense of shame and worthlessness,Depression,46,i feel a deep sense of shame and worthlessness,9
466,My body feels like it's buzzing with nervous energy,Anxiety,50,my body feels like its buzzing with nervous energy,9
467,I'm looking forward to what tomorrow will bring,Normal,46,im looking forward to what tomorrow will bring,8
468,My emotions are so intense they feel uncontrollable,Bipolar,51,my emotions are so intense they feel uncontrollable,8
469,I have a hard time managing my money and am often in debt,ADHD,57,i have a hard time managing my money and am often in debt,13
470,I am unable to feel safe anywhere,PTSD,33,i am unable to feel safe anywhere,7
471,I have to confess my thoughts to someone to relieve my anxiety,OCD,62,i have to confess my thoughts to someone to relieve my anxiety,12
472,I can't stop thinking about my past mistakes,Depression,43,i cant stop thinking about my past mistakes,8
473,I feel like I'm going crazy with all this worry,Anxiety,46,i feel like im going crazy with all this worry,10
474,I feel happy and content with where I am in life,Normal,48,i feel happy and content with where i am in life,11
475,I have an unstoppable urge to talk when I'm manic,Bipolar,48,i have an unstoppable urge to talk when im manic,10
476,I have a messy car and a messy room; organization is hard,ADHD,56,i have a messy car and a messy room organization is hard,12
477,I feel like the trauma defines who I am now,PTSD,43,i feel like the trauma defines who i am now,10
478,I have a nagging feeling that I've forgotten to do something important,OCD,69,i have a nagging feeling that ive forgotten to do something important,12
479,I have a pessimistic outlook on everything,Depression,42,i have a pessimistic outlook on everything,7
480,I have nightmares that I'm being chased or trapped,Anxiety,49,i have nightmares that im being chased or trapped,9
481,I feel a sense of freedom and possibility today,Normal,47,i feel a sense of freedom and possibility today,9
482,I go from feeling deeply sad to inappropriately cheerful very quickly,Bipolar,69,i go from feeling deeply sad to inappropriately cheerful very quickly,11
483,I find it hard to stick to a routine,ADHD,36,i find it hard to stick to a routine,9
484,I am estranged from my family because of my trauma responses,PTSD,60,i am estranged from my family because of my trauma responses,11
485,I avoid certain words because they feel 'unlucky',OCD,47,i avoid certain words because they feel unlucky,8
486,"I feel like I'm just existing, not living",Depression,39,i feel like im just existing not living,8
487,I'm always imagining the worst-case scenario,Anxiety,42,im always imagining the worstcase scenario,6
488,"I feel productive, but not rushed or stressed",Normal,44,i feel productive but not rushed or stressed,8
489,My depression is so deep I can barely move or speak,Bipolar,51,my depression is so deep i can barely move or speak,11
490,I get so absorbed in one thing that I lose track of everything else,ADHD,67,i get so absorbed in one thing that i lose track of everything else,14
491,I feel like I'm on a different wavelength from everyone else,PTSD,59,i feel like im on a different wavelength from everyone else,11
492,I feel the need to apologize for things that are not my fault,OCD,61,i feel the need to apologize for things that are not my fault,13
493,I feel like I'm carrying a heavy weight on my shoulders,Depression,54,i feel like im carrying a heavy weight on my shoulders,11
494,I have a constant fear of being abandoned,Anxiety,41,i have a constant fear of being abandoned,8
495,I feel my efforts are paying off,Normal,32,i feel my efforts are paying off,7
496,My hypomanic episodes make me feel productive and brilliant,Bipolar,59,my hypomanic episodes make me feel productive and brilliant,9
497,I talk excessively and don't pick up on social cues to stop,ADHD,58,i talk excessively and dont pick up on social cues to stop,12
498,I have a strong desire for revenge against those who hurt me,PTSD,60,i have a strong desire for revenge against those who hurt me,12
499,I have to check my pulse to make sure I'm still alive,OCD,52,i have to check my pulse to make sure im still alive,12
500,I feel so sad that my whole body aches,Depression,38,i feel so sad that my whole body aches,9
501,"My mind feels like a browser with too many tabs open, all of them frozen",Depression,71,my mind feels like a browser with too many tabs open all of them frozen,15
502,"I get a sudden, overwhelming sense of terror for no logical reason",Anxiety,65,i get a sudden overwhelming sense of terror for no logical reason,12
503,I handled a difficult conversation today with grace and calm,Normal,60,i handled a difficult conversation today with grace and calm,10
504,I redecorated my entire house overnight; now I hate it and I'm exhausted,Bipolar,70,i redecorated my entire house overnight now i hate it and im exhausted,13
505,I can't start a project until the pressure of the deadline is immense,ADHD,68,i cant start a project until the pressure of the deadline is immense,13
506,"I feel a profound sense of detachment from my own body, like it's not mine",PTSD,72,i feel a profound sense of detachment from my own body like its not mine,15
507,I have to mentally rehearse my entire day to make sure I didn't make a mistake,OCD,77,i have to mentally rehearse my entire day to make sure i didnt make a mistake,16
508,"Colors seem muted and food tastes bland, like the world is fading",Depression,64,colors seem muted and food tastes bland like the world is fading,12
509,My stomach is in knots worrying about a meeting that's a week away,Anxiety,65,my stomach is in knots worrying about a meeting thats a week away,13
510,"I'm finding joy in my daily routine, which feels really nice",Normal,58,im finding joy in my daily routine which feels really nice,11
511,"I feel like I have superpowers, then two days later I can't even make toast",Bipolar,73,i feel like i have superpowers then two days later i cant even make toast,15
512,I experience intense emotional reactions to minor setbacks,ADHD,58,i experience intense emotional reactions to minor setbacks,8
513,I can't feel happiness or love anymore; it's like those emotions are gone,PTSD,70,i cant feel happiness or love anymore its like those emotions are gone,13
514,"An image of a disaster will pop into my head, and I have to do a ritual to feel safe",OCD,83,an image of a disaster will pop into my head and i have to do a ritual to feel safe,20
515,"I feel like I'm underwater, and everyone else is moving at normal speed",Depression,69,i feel like im underwater and everyone else is moving at normal speed,13
516,I'm convinced this minor physical symptom is a sign of a fatal disease,Anxiety,69,im convinced this minor physical symptom is a sign of a fatal disease,13
517,I'm proud of the healthy habits I'm building for myself,Normal,53,im proud of the healthy habits im building for myself,10
518,My thoughts are like a freight train with no brakes during a manic episode,Bipolar,74,my thoughts are like a freight train with no brakes during a manic episode,14
519,My brain feels like it needs constant novelty and stimulation to stay engaged,ADHD,77,my brain feels like it needs constant novelty and stimulation to stay engaged,13
520,"I've been engaging in risky behavior, almost like I'm testing fate",PTSD,63,ive been engaging in risky behavior almost like im testing fate,11
521,I can't leave a room until everything is perfectly aligned and symmetrical,OCD,73,i cant leave a room until everything is perfectly aligned and symmetrical,12
522,"It feels like there's a heavy, invisible blanket smothering my motivation",Depression,71,it feels like theres a heavy invisible blanket smothering my motivation,11
523,I felt like everyone was staring at me and judging me at the store today,Anxiety,72,i felt like everyone was staring at me and judging me at the store today,15
524,I'm enjoying being present and not worrying about the past or future,Normal,67,im enjoying being present and not worrying about the past or future,12
525,The crash after a manic period feels like the worst emotional hangover imaginable,Bipolar,81,the crash after a manic period feels like the worst emotional hangover imaginable,13
526,A simple criticism can send me into a spiral of self-doubt for days,ADHD,66,a simple criticism can send me into a spiral of selfdoubt for days,13
527,I look in the mirror and sometimes feel like I'm looking at a stranger,PTSD,69,i look in the mirror and sometimes feel like im looking at a stranger,14
528,I'm terrified that I might accidentally cause harm to someone I care about,OCD,73,im terrified that i might accidentally cause harm to someone i care about,13
529,I have to put on a mask of being 'fine' for everyone else,Depression,55,i have to put on a mask of being fine for everyone else,13
530,The physical symptoms of my anxiety—dizziness and heart pounding—are scary,Anxiety,72,the physical symptoms of my anxietydizziness and heart poundingare scary,10
531,I feel a quiet satisfaction from finishing my tasks for the day,Normal,63,i feel a quiet satisfaction from finishing my tasks for the day,12
532,My family says they have to walk on eggshells around me because of my moods,Bipolar,75,my family says they have to walk on eggshells around me because of my moods,15
533,I have a closet full of supplies for hobbies I was obsessed with for a week,ADHD,75,i have a closet full of supplies for hobbies i was obsessed with for a week,16
534,"I keep thinking 'if only I had done something different,' the outcome would be better",PTSD,82,i keep thinking if only i had done something different the outcome would be better,15
535,My mind gets stuck on a particular number and I have to see it everywhere,OCD,73,my mind gets stuck on a particular number and i have to see it everywhere,15
536,My thoughts are consumed by a sense of failure and regret,Depression,57,my thoughts are consumed by a sense of failure and regret,11
537,"I feel a sense of unreality, as if I'm watching a movie of my life",Anxiety,64,i feel a sense of unreality as if im watching a movie of my life,15
538,I feel mentally refreshed and am looking forward to new challenges,Normal,66,i feel mentally refreshed and am looking forward to new challenges,11
539,"During a high, I don't need to sleep and feel completely wired with energy",Bipolar,72,during a high i dont need to sleep and feel completely wired with energy,14
540,I'll walk into a room and completely forget why I went in there,ADHD,62,ill walk into a room and completely forget why i went in there,13
541,I have persistent feelings of guilt about surviving when others didn't,PTSD,69,i have persistent feelings of guilt about surviving when others didnt,11
542,I'm preoccupied with religious questions and fears of damnation,OCD,62,im preoccupied with religious questions and fears of damnation,9
543,"Even small decisions feel impossible, like my brain has shut down",Depression,64,even small decisions feel impossible like my brain has shut down,11
544,I'm experiencing tunnel vision and cold sweats during my panic attacks,Anxiety,69,im experiencing tunnel vision and cold sweats during my panic attacks,11
545,I feel connected to the people around me and supported,Normal,54,i feel connected to the people around me and supported,10
546,"I make elaborate, unrealistic plans when I'm hypomanic",Bipolar,52,i make elaborate unrealistic plans when im hypomanic,8
547,I can't seem to organize my thoughts well enough to write a simple email,ADHD,71,i cant seem to organize my thoughts well enough to write a simple email,14
548,"I feel like a ghost in my own life, just watching things happen",PTSD,62,i feel like a ghost in my own life just watching things happen,13
549,I have to reread pages of a book because I'm worried I missed a secret meaning,OCD,77,i have to reread pages of a book because im worried i missed a secret meaning,16
550,I am so tired of being tired all the time,Depression,41,i am so tired of being tired all the time,10
551,My fear of failure is so paralyzing that I procrastinate on everything,Anxiety,70,my fear of failure is so paralyzing that i procrastinate on everything,12
552,I took a moment to appreciate the beauty of nature today,Normal,56,i took a moment to appreciate the beauty of nature today,11
553,My speech becomes so fast that others can't understand what I'm saying,Bipolar,68,my speech becomes so fast that others cant understand what im saying,12
554,I have a very low tolerance for boredom and frustration,ADHD,55,i have a very low tolerance for boredom and frustration,10
555,I feel like I'm permanently broken by my past,PTSD,44,i feel like im permanently broken by my past,9
556,"I have a constant, nagging doubt that I've left the oven on",OCD,57,i have a constant nagging doubt that ive left the oven on,12
557,"I feel like an actor playing a part, and I'm exhausted from the performance",Depression,73,i feel like an actor playing a part and im exhausted from the performance,14
558,I'm always on the lookout for signs that something is wrong,Anxiety,58,im always on the lookout for signs that something is wrong,11
559,I feel a deep sense of accomplishment and self-worth today,Normal,57,i feel a deep sense of accomplishment and selfworth today,10
560,I swing between feeling like a creative genius and a complete fraud,Bipolar,67,i swing between feeling like a creative genius and a complete fraud,12
561,"I thrive in chaos and high-pressure situations, but fail at simple routines",ADHD,73,i thrive in chaos and highpressure situations but fail at simple routines,12
562,I have a strong physical aversion to places that remind me of the trauma,PTSD,72,i have a strong physical aversion to places that remind me of the trauma,14
563,I'm worried my thoughts can make bad things happen in reality,OCD,60,im worried my thoughts can make bad things happen in reality,11
564,The sadness comes in waves and feels like it's going to drown me,Depression,63,the sadness comes in waves and feels like its going to drown me,13
565,I'm having trouble breathing because my chest is so tight with worry,Anxiety,67,im having trouble breathing because my chest is so tight with worry,12
566,I'm grateful for my health and the opportunities I have,Normal,54,im grateful for my health and the opportunities i have,10
567,"I feel an intense pressure to keep talking, even when I have nothing to say",Bipolar,74,i feel an intense pressure to keep talking even when i have nothing to say,15
568,My emotional volume is always turned up to the maximum,ADHD,54,my emotional volume is always turned up to the maximum,10
569,I can't handle anyone touching me unexpectedly,PTSD,45,i cant handle anyone touching me unexpectedly,7
570,I have to count my steps and end on an even number,OCD,50,i have to count my steps and end on an even number,12
571,I've been turning down invitations because I don't have the social energy,Depression,71,ive been turning down invitations because i dont have the social energy,12
572,I avoid conflict at all costs because it makes my anxiety unbearable,Anxiety,68,i avoid conflict at all costs because it makes my anxiety unbearable,12
573,I feel a sense of inner peace that I haven't felt in a while,Normal,59,i feel a sense of inner peace that i havent felt in a while,14
574,My partner says my personality seems to change from one day to the next,Bipolar,71,my partner says my personality seems to change from one day to the next,14
575,"I have to set five alarms just to wake up, and I still oversleep",ADHD,63,i have to set five alarms just to wake up and i still oversleep,14
576,I have significant gaps in my memory surrounding the traumatic event,PTSD,68,i have significant gaps in my memory surrounding the traumatic event,11
577,I spend hours arranging my computer files into the perfect folder structure,OCD,75,i spend hours arranging my computer files into the perfect folder structure,12
578,My mind is constantly replaying every mistake I've ever made,Depression,59,my mind is constantly replaying every mistake ive ever made,10
579,I get nauseous and my palms sweat when I have to give a presentation,Anxiety,68,i get nauseous and my palms sweat when i have to give a presentation,14
580,I'm enjoying learning a new skill and seeing myself improve,Normal,58,im enjoying learning a new skill and seeing myself improve,10
581,I made a risky financial investment on an impulse and now I regret it,Bipolar,69,i made a risky financial investment on an impulse and now i regret it,14
582,My living space is cluttered because I can't decide what to throw away,ADHD,69,my living space is cluttered because i cant decide what to throw away,13
583,I feel like I'm watching the world from behind a pane of glass,PTSD,61,i feel like im watching the world from behind a pane of glass,13
584,I need to have a 'just in case' item for every possible scenario,OCD,62,i need to have a just in case item for every possible scenario,13
585,It feels like all the joy has been drained from my life,Depression,55,it feels like all the joy has been drained from my life,12
586,I feel like I'm a burden to my family with my constant worrying,Anxiety,62,i feel like im a burden to my family with my constant worrying,13
587,I had a really productive day and it feels fantastic,Normal,52,i had a really productive day and it feels fantastic,10
588,I can go from being the life of the party to wanting to be completely alone,Bipolar,75,i can go from being the life of the party to wanting to be completely alone,16
589,I struggle to relax because my mind is always racing with thoughts,ADHD,66,i struggle to relax because my mind is always racing with thoughts,12
590,"I have a hair-trigger temper now, which is not how I used to be",PTSD,61,i have a hairtrigger temper now which is not how i used to be,14
591,"I'm afraid that if I stop my rituals, something terrible will happen to a loved one",OCD,81,im afraid that if i stop my rituals something terrible will happen to a loved one,16
592,"I feel emotionally raw, like I have no skin to protect me",Depression,56,i feel emotionally raw like i have no skin to protect me,12
593,I'm terrified of making phone calls to strangers,Anxiety,47,im terrified of making phone calls to strangers,8
594,"I feel strong, capable, and ready for anything",Normal,44,i feel strong capable and ready for anything,8
