csvid,text,label
556,"I have a constant, nagging doubt that I've left the oven on",OCD
557,"I feel like an actor playing a part, and I'm exhausted from the performance",Depression
558,I'm always on the lookout for signs that something is wrong,Anxiety
559,I feel a deep sense of accomplishment and self-worth today,Normal
560,I swing between feeling like a creative genius and a complete fraud,Bipolar
561,"I thrive in chaos and high-pressure situations, but fail at simple routines",ADHD
562,I have a strong physical aversion to places that remind me of the trauma,PTSD
563,I'm worried my thoughts can make bad things happen in reality,OCD
564,The sadness comes in waves and feels like it's going to drown me,Depression
565,I'm having trouble breathing because my chest is so tight with worry,Anxiety
566,I'm grateful for my health and the opportunities I have,Normal
567,"I feel an intense pressure to keep talking, even when I have nothing to say",Bipolar
568,My emotional volume is always turned up to the maximum,ADHD
569,I can't handle anyone touching me unexpectedly,PTSD
570,I have to count my steps and end on an even number,OCD
571,I've been turning down invitations because I don't have the social energy,Depression
572,I avoid conflict at all costs because it makes my anxiety unbearable,Anxiety
573,I feel a sense of inner peace that I haven't felt in a while,Normal
574,My partner says my personality seems to change from one day to the next,Bipolar
575,"I have to set five alarms just to wake up, and I still oversleep",ADHD
576,I have significant gaps in my memory surrounding the traumatic event,PTSD
577,I spend hours arranging my computer files into the perfect folder structure,OCD
578,My mind is constantly replaying every mistake I've ever made,Depression
579,I get nauseous and my palms sweat when I have to give a presentation,Anxiety
580,I'm enjoying learning a new skill and seeing myself improve,Normal
581,I made a risky financial investment on an impulse and now I regret it,Bipolar
582,My living space is cluttered because I can't decide what to throw away,ADHD
583,I feel like I'm watching the world from behind a pane of glass,PTSD
584,I need to have a 'just in case' item for every possible scenario,OCD
585,It feels like all the joy has been drained from my life,Depression
586,I feel like I'm a burden to my family with my constant worrying,Anxiety
587,I had a really productive day and it feels fantastic,Normal
588,I can go from being the life of the party to wanting to be completely alone,Bipolar
589,I struggle to relax because my mind is always racing with thoughts,ADHD
590,"I have a hair-trigger temper now, which is not how I used to be",PTSD
591,"I'm afraid that if I stop my rituals, something terrible will happen to a loved one",OCD
592,"I feel emotionally raw, like I have no skin to protect me",Depression
593,I'm terrified of making phone calls to strangers,Anxiety
594,"I feel strong, capable, and ready for anything",Normal
595,"My ideas feel revolutionary when I'm hypomanic, but nonsensical later",Bipolar
596,I can't seem to finish any book I start,ADHD
597,My sense of self was shattered by the trauma,PTSD
598,I have to check social media repeatedly to make sure I haven't been unfollowed,OCD
599,I've started to believe the negative things my inner voice tells me,Depression
600,"I feel a constant, low-level hum of anxiety throughout the day",Anxiety
601,My routine is solid and it makes me feel secure,Normal
602,I am either over-the-top productive or completely immobilized,Bipolar
603,I get easily distracted by my own thoughts during conversations,ADHD
604,I am always waiting for the other shoe to drop,PTSD
605,I have to wipe down any surface before I can touch it,OCD
606,"I'm struggling with feelings of intense loneliness, even in a crowd",Depression
607,I'm having intrusive thoughts about all the ways I could get hurt,Anxiety
608,I feel a sense of hope that things are getting better,Normal
609,My behavior becomes incredibly flamboyant and attention-seeking during highs,Bipolar
610,I'm a master procrastinator until the very last second,ADHD
611,I feel like my emotions are stuck on 'numb',PTSD
612,I have to avoid certain 'unlucky' colors in my clothing,OCD
613,The effort to seem 'normal' is utterly exhausting,Depression
614,I experience sudden muscle twitches and jitters when I'm anxious,Anxiety
615,I feel good about the direction my life is heading,Normal
616,I have periods of intense goal-driven behavior that just suddenly stop,Bipolar
617,I misplace important documents all the time,ADHD
618,I feel like an alien trying to understand human emotions,PTSD
619,I ask people the same question multiple times to be sure of the answer,OCD
620,I've lost my passion for my career and my hobbies,Depression
621,My fear of flying is so intense I can't go on vacation,Anxiety
622,I'm sleeping well and waking up with energy,Normal
623,"The world feels like a vibrant, exciting place when I'm manic",Bipolar
624,"I have trouble with impulse control, especially with online shopping",ADHD
625,I have a deep distrust of people in authority now,PTSD
626,I need to have my morning coffee in a specific mug or my day feels wrong,OCD
627,"I feel like I'm living in a gray, colorless world",Depression
628,I feel like I'm going to faint when my anxiety gets too high,Anxiety
629,I feel a deep sense of connection to my work and my colleagues,Normal
630,I swing from being overly critical of others to idolizing them,Bipolar
631,I start tasks with a burst of energy but can't sustain the effort,ADHD
632,I feel like I'm always braced for impact,PTSD
633,I have a mental checklist that I have to go through before I can sleep,OCD
634,There's a constant feeling of dread hanging over me,Depression
635,I have a specific phobia that interferes with my daily life,Anxiety
636,I feel centered and in control of my emotions,Normal
637,"My creativity skyrockets during hypomania, and I produce a ton of work",Bipolar
638,I am terrible at estimating how long a task will take,ADHD
639,I have a cynical and pessimistic view of the future,PTSD
640,I'm afraid of swallowing pills because I think I will choke,OCD
641,My motivation is at an all-time low,Depression
642,I'm having trouble concentrating because my anxious thoughts are so loud,Anxiety
643,I'm making time for self-care and it's making a big difference,Normal
644,I feel so agitated I want to crawl out of my own skin,Bipolar
645,My mind jumps from idea to idea without any logical connection,ADHD
646,I have a diminished interest in activities I used to find pleasurable,PTSD
647,"I feel compelled to tell the truth, even when it's socially inappropriate",OCD
648,I have recurrent thoughts of ending my life,Depression
649,I'm so worried about what people think that I can't be myself,Anxiety
650,I feel a sense of purpose and it's really motivating,Normal
651,My thoughts feel like they are racing and I can't slow them down,Bipolar
652,"I often speak before I think, which gets me into trouble",ADHD
653,I feel like I'm a burden on everyone around me because of my past,PTSD
654,I have to touch an object with both hands to make it feel 'even',OCD
655,"I feel like a ghost, just floating through my days",Depression
656,I get so overwhelmed by my to-do list that I do nothing at all,Anxiety
657,I feel emotionally stable and things don't bother me as much,Normal
658,"I take on huge, unrealistic responsibilities when I feel good",Bipolar
659,"I am constantly looking for my keys, phone, or wallet",ADHD
660,I feel like I'm living in a constant state of high alert,PTSD
661,"I'm afraid of contamination by proxy, like if someone touches a 'dirty' object and then touches me",OCD
662,I'm so fatigued that even showering feels like a marathon,Depression
663,My thoughts are stuck in a catastrophic loop of 'what if',Anxiety
664,I'm genuinely excited about the future for the first time in a while,Normal
665,I can't seem to stop my impulsive spending when I am in a high,Bipolar
666,I have to move around constantly; I can't handle being still,ADHD
667,I feel like my personality fundamentally changed after the incident,PTSD
668,I have to say a specific phrase to myself to neutralize a bad thought,OCD
669,I feel a profound sense of emptiness that nothing can fill,Depression
670,I feel a jolt of adrenaline every time I get an email notification,Anxiety
671,I feel like I'm on the right path in my life,Normal
672,I'm either talking a mile a minute or I'm completely silent for days,Bipolar
673,I struggle to listen because I'm busy formulating my own response,ADHD
674,I'm emotionally withdrawn and have difficulty showing affection,PTSD
675,I'm obsessed with the fear that I'll develop a serious illness,OCD
676,I feel completely worthless and unlovable,Depression
677,I am constantly seeking reassurance that I didn't upset anyone,Anxiety
678,I feel like my mind is quiet and peaceful today,Normal
679,My confidence is either nonexistent or wildly inflated,Bipolar
680,I have a hard time with transitions and changes in my routine,ADHD
681,I'm having recurring nightmares that are exact replays of the event,PTSD
682,I have to walk in a certain way to avoid bad luck,OCD
683,"I can't find pleasure in anything, even my favorite foods",Depression
684,I have a deep-seated fear of being abandoned by my loved ones,Anxiety
685,I'm proud of how I'm navigating life's complexities,Normal
686,"I have an uncontrollable flight of ideas, jumping from topic to topic",Bipolar
687,"I'm always late, no matter how early I try to start getting ready",ADHD
688,"I feel like I'm a ticking time bomb, ready to explode with anger",PTSD
689,I have to tear pages out of a book if I make a mistake writing in it,OCD
690,I feel like I'm failing at every aspect of my life,Depression
691,I'm obsessively re-reading texts I've sent to analyze their meaning,Anxiety
692,I feel like I have a healthy perspective on my problems,Normal
693,My mood depends entirely on whether I'm in an up or down cycle,Bipolar
694,I have a hard time relaxing and am always fidgeting or restless,ADHD
695,I have a hard time imagining a future for myself,PTSD
696,I can't stop cleaning because I'm afraid of germs making my family sick,OCD
697,I feel like I don't deserve to be happy,Depression
698,I'm worried I'll have a panic attack in public and humiliate myself,Anxiety
699,I'm able to appreciate the small joys in my day,Normal
700,"My sleep patterns are completely erratic, either insomnia or hypersomnia",Bipolar
701,I struggle with emotional outbursts over seemingly small things,ADHD
702,I've become very isolated and avoid social contact,PTSD
703,I have to align the fringe on the rug perfectly before I can relax,OCD
704,My inner critic is relentless and loud,Depression
705,I feel like I'm constantly on trial and have to defend my actions,Anxiety
706,I'm feeling motivated to work on my long-term goals,Normal
707,I get extremely irritable and impatient with people when I'm hypomanic,Bipolar
708,I am inattentive to details and make careless errors in my work,ADHD
709,I feel like I'm constantly reliving the worst day of my life,PTSD
710,I have to check that all the pictures on the wall are perfectly straight,OCD
711,I feel like there's a wall of glass between me and the rest of the world,Depression
712,I'm always assuming people are angry or disappointed with me,Anxiety
713,I'm feeling optimistic about what I can accomplish,Normal
714,I have an inflated sense of my own abilities during a manic episode,Bipolar
715,My thoughts are so scattered that I can't follow a conversation,ADHD
716,I experience intense psychological distress when reminded of the trauma,PTSD
717,I have a pathological fear of making the wrong decision,OCD
718,"I cry at the drop of a hat, often for no clear reason",Depression
719,I feel a sense of dread when I think about the future,Anxiety
720,I'm feeling resilient and able to bounce back from setbacks,Normal
721,My energy levels are so high I feel like I'm vibrating,Bipolar
722,I have a hard time with self-regulation and delayed gratification,ADHD
723,I've lost all trust in my own judgment,PTSD
724,I have to buy items in pairs or even numbers,OCD
725,"I feel like a spectator in my own life, not an active participant",Depression
726,I need to have an escape plan for every social situation I'm in,Anxiety
727,I feel a sense of calm authority over my own life,Normal
728,I feel creatively blocked and uninspired during my depressive phases,Bipolar
729,I'm easily frustrated by tasks that require patience,ADHD
730,I have a belief that the world is a fundamentally dangerous place,PTSD
731,I have an overwhelming need for things to be 'just right',OCD
732,I feel like a burden and think people would be better off without me,Depression
733,My body is in a constant state of 'fight or flight',Anxiety
734,I feel like I'm growing as a person and I'm happy about it,Normal
735,I can't seem to control my impulses when I'm in a manic state,Bipolar
736,I find it nearly impossible to complete administrative tasks like paperwork,ADHD
737,I feel like I'm constantly waiting for something bad to happen again,PTSD
738,I have to perform certain actions in a specific sequence,OCD
739,I have a deep feeling of apathy towards everything,Depression
740,I'm worried about my loved ones to an excessive and irrational degree,Anxiety
741,I feel a great sense of clarity about my goals and values,Normal
742,"I'll stay up for 48 hours working on a project, then abandon it completely",Bipolar
743,My mind wanders so much I often miss my exit on the highway,ADHD
744,I feel like my trauma has made me 'unlovable',PTSD
745,I'm convinced I'm a bad person because of my intrusive thoughts,OCD
746,I have no appetite and have to force myself to eat,Depression
747,"I feel a sense of terror when I'm in a small, enclosed space",Anxiety
748,I feel emotionally balanced and my mood is stable,Normal
749,My moods are a rollercoaster that I can't get off of,Bipolar
750,I'm so disorganized that it negatively impacts my career,ADHD
751,I have a hard time feeling any strong emotion except for fear or anger,PTSD
752,"I feel compelled to hoard things, even if they are garbage",OCD
753,I am experiencing a complete loss of self-esteem,Depression
754,"I feel like I can't catch my breath, even though I'm breathing fine",Anxiety
755,I feel like my hard work is finally paying off,Normal
756,"I feel pressured to keep talking, even when I have nothing to say",Bipolar
757,My impulsivity has led to financial problems,ADHD
758,I'm having difficulty maintaining relationships since the trauma,PTSD
759,I'm afraid of stepping on cracks in the pavement,OCD
760,I am isolating myself from the world because it feels safer,Depression
761,I get intense stomach cramps and digestive issues from anxiety,Anxiety
762,I am at peace with my past and looking forward to the future,Normal
763,My thoughts are racing so fast I feel dizzy,Bipolar
764,I have trouble winding down and my mind is always 'on',ADHD
765,I have a hard time trusting anyone completely,PTSD
766,I have to check that all the doors and windows are locked multiple times,OCD
767,I feel like I'm living under a dark cloud that follows me everywhere,Depression
768,I'm terrified of being the center of attention,Anxiety
769,I feel refreshed and ready to have a great day,Normal
770,I can shift from euphoria to tears in a matter of minutes,Bipolar
771,I find myself daydreaming excessively to escape from my responsibilities,ADHD
772,I have a sense of being different or separate from other people,PTSD
773,I have intrusive thoughts about yelling out inappropriate things in quiet places,OCD
774,I'm so emotionally exhausted I don't have the energy to talk,Depression
775,I'm afraid to try new things because I might fail,Anxiety
776,I feel secure in who I am as a person,Normal
777,I have an exaggerated sense of self-confidence when I'm manic,Bipolar
778,I often lose my place in conversations because I get distracted,ADHD
779,I feel emotionally and physically on edge all the time,PTSD
780,I'm preoccupied with keeping my possessions in a specific order,OCD
781,I'm having trouble concentrating on work because of my low mood,Depression
782,I feel like I'm going to lose my mind from all the stress,Anxiety
783,I'm enjoying a period of calm and stability,Normal
784,My thinking can become grandiose and delusional when I'm manic,Bipolar
785,I'm not a good listener because my mind is always somewhere else,ADHD
786,"I'm constantly scanning for threats, even in my own home",PTSD
787,I feel the need to confess to minor wrongdoings constantly,OCD
788,I've lost interest in sex and physical intimacy,Depression
789,I have a fear of heights that makes it hard to be in tall buildings,Anxiety
790,I feel like I'm living a meaningful and fulfilling life,Normal
791,My depression can get so bad that I experience psychosis,Bipolar
792,I have a hard time with tasks that have multiple steps,ADHD
793,"I feel like the trauma was my fault, even though I know it wasn't",PTSD
794,"I have to count things in my environment, like ceiling tiles or cars",OCD
795,I have unexplained physical symptoms like headaches and body aches,Depression
796,"I get overwhelmed by sensory input, like loud noises and bright lights",Anxiety
797,I feel grateful for the simple pleasures of life,Normal
798,My family has pointed out my erratic and impulsive behavior,Bipolar
799,I have poor working memory and forget instructions immediately,ADHD
800,I feel like I can never be my old self again,PTSD
801,I have a fear of being contaminated by thoughts as well as germs,OCD
802,I feel like I'm wearing a lead vest all the time,Depression
803,My mind is a whirlwind of worst-case scenarios,Anxiety
804,"I feel calm and collected, even in stressful situations",Normal
805,I feel like I'm invincible and can't be harmed during my highs,Bipolar
806,I'm often called 'lazy' or 'unmotivated' but it's not true,ADHD
807,I feel like my future has been stolen from me,PTSD
808,"I have to repeat actions until they feel 'just right,' which can take hours",OCD
809,I feel like I'm on the outside looking in on my own life,Depression
810,"I experience intense depersonalization, feeling detached from myself",Anxiety
811,I'm feeling very content and satisfied with my relationships,Normal
812,My depressive episodes leave me feeling suicidal and hopeless,Bipolar
813,I can be very blunt and tactless without meaning to be,ADHD
814,I feel like I aged 20 years on the day of the trauma,PTSD
815,I have a need for everything to be clean and sterile,OCD
816,I have a constant feeling of being 'on edge' and irritable,Depression
817,"I have an irrational fear of being trapped, like in an elevator",Anxiety
818,I feel like I'm making positive changes in my life,Normal
819,I'm either extremely productive or can't get out of bed for days,Bipolar
820,I have a low frustration tolerance and a quick temper,ADHD
821,I am hyper-aware of my surroundings to an exhausting degree,PTSD
822,I have to arrange my clothes by color and type,OCD
823,I'm having thoughts that I would be better off dead,Depression
824,I'm so worried about the future that I can't enjoy the present,Anxiety
825,I feel a sense of optimism that I haven't had in a long time,Normal
826,My judgment becomes severely impaired when I'm manic,Bipolar
827,I have a hard time following through on my commitments,ADHD
828,I feel like I'm living in a different reality from everyone else,PTSD
829,I have a fear of leaving my house alone,OCD
830,I feel like I'm in a fog that I can't think my way out of,Depression
831,I am terrified of what other people think of me,Anxiety
832,I feel like I have a good handle on my life right now,Normal
833,I feel like I'm moving in fast-forward while everyone else is in slow-motion,Bipolar
834,I often tune out during long meetings or lectures,ADHD
835,I have a very strong startle response to unexpected noises,PTSD
836,I need to know the exact details of a plan or I get very anxious,OCD
837,I feel like I'm a shell of my former self,Depression
838,I have a fear of losing control in front of other people,Anxiety
839,I am feeling very peaceful and it's a welcome change,Normal
840,I can go from being the most talkative person in the room to mute,Bipolar
841,I have a hard time with boredom and am always seeking excitement,ADHD
842,I'm having trouble sleeping because of intrusive thoughts about the trauma,PTSD
843,I have a fear of using public restrooms,OCD
844,I feel like I'm running on empty all the time,Depression
845,"I'm having chest pains and I'm scared it's a heart attack, but it's just anxiety",Anxiety
846,I feel confident and self-assured in my decisions,Normal
847,I can feel a manic episode coming on like an approaching storm,Bipolar
848,"I have a tendency to hyper-focus on things I find interesting, to the exclusion of all else",ADHD
849,I feel like I'm fundamentally flawed because of what happened to me,PTSD
850,I have to wash my hands a certain number of times before I can eat,OCD
851,I have a hard time feeling any positive emotions at all,Depression
852,I feel like my brain has been hijacked by my worries,Anxiety
853,I feel like I am in a really good headspace today,Normal
854,The depressive crash after a manic high is devastating,Bipolar
855,"I struggle with time blindness, often underestimating how long things take",ADHD
856,I'm having flashbacks that are so vivid they feel real,PTSD
857,"I'm afraid that my house will burn down, so I check the smoke detectors daily",OCD
858,I feel like I'm just going through the motions of living,Depression
859,I'm having trouble making decisions because I'm scared of making the wrong one,Anxiety
860,I feel a sense of pride in the work I've done,Normal
861,My thoughts are so rapid and disorganized that I can't articulate them,Bipolar
862,I have a hard time with unstructured time and get bored easily,ADHD
863,I feel like I can't connect with people who haven't been through what I have,PTSD
864,I have to have all my things perfectly organized or I can't concentrate,OCD
865,"I feel like I'm at the bottom of a deep, dark pit",Depression
866,I'm having difficulty sleeping because I can't turn off my anxious thoughts,Anxiety
867,I feel like I'm on an even keel emotionally,Normal
868,"My confidence soars during a hypomanic phase, and I feel unstoppable",Bipolar
869,I often interrupt others because I'm afraid I'll forget what I want to say,ADHD
870,I am constantly tense and preparing for the worst,PTSD
871,I have a routine that I must follow exactly every day or I feel intense anxiety,OCD
872,I feel like I'm living in a black and white movie,Depression
873,I am so stressed that I am experiencing hair loss,Anxiety
874,I feel like my life is full of possibilities,Normal
875,I can go from laughing hysterically to sobbing in a short period,Bipolar
876,I have a poor sense of direction and get lost easily,ADHD
877,I feel like my trauma has made me a cynical and bitter person,PTSD
878,I have to confess any 'bad' thought I have to my partner,OCD
879,I have no energy to do the things I used to love,Depression
880,I have a constant feeling that something bad is about to happen,Anxiety
881,I feel a sense of joy and wonder about the world today,Normal
882,My mind is full of grandiose ideas that I can't possibly execute,Bipolar
883,I have a hard time completing tasks that I find boring,ADHD
884,I feel like I'm living in the past and can't move forward,PTSD
885,"I'm afraid of getting sick, so I'm constantly washing my hands",OCD
886,I feel like I'm a failure in my personal and professional life,Depression
887,I'm having trouble breathing and I feel like I'm suffocating,Anxiety
888,I feel like I'm in a good place mentally and emotionally,Normal
889,My mood swings are exhausting for me and those around me,Bipolar
890,I have a hard time with executive functions like planning and prioritizing,ADHD
891,I feel like I'm a different person than I was before the trauma,PTSD
892,I have to check that my car is locked several times before I can walk away,OCD
893,I feel like I'm just taking up space in the world,Depression
894,I'm having nightmares about being unable to escape a dangerous situation,Anxiety
895,I feel a sense of empowerment and control over my life,Normal
896,I can't seem to regulate my emotions; they're either on or off,Bipolar
897,I'm very forgetful and have to write everything down,ADHD
898,"I feel like I'm constantly on guard, waiting for a threat",PTSD
899,I have to have my things arranged in a certain way that makes sense only to me,OCD
900,I feel like I'm watching my life from a distance,Depression
901,My heart feels like it's going to beat out of my chest,Anxiety
902,I feel like I have a good support system in my friends and family,Normal
903,I feel like my brain is on fire with ideas and energy,Bipolar
904,I have a hard time with tasks that require long-term planning,ADHD
905,"I feel like I'm stuck in a loop, reliving the same bad memories",PTSD
906,I am preoccupied with thoughts of contamination and cleanliness,OCD
907,I feel like there's no point in trying anymore because I'll just fail,Depression
908,I'm so anxious that I can't eat or sleep properly,Anxiety
909,I feel a sense of deep contentment with my life right now,Normal
910,I experience intense and unstable relationships due to my mood swings,Bipolar
911,"I am easily distracted by external stimuli, making it hard to work",ADHD
912,I have a persistent feeling of being damaged or broken,PTSD
913,"I have a fear of losing important items, so I check for them constantly",OCD
914,I feel like I'm in a constant state of grief for the life I thought I'd have,Depression
915,I have a fear of public speaking that has held me back in my career,Anxiety
916,I feel a sense of renewal and am ready to start fresh,Normal
917,I feel like I'm on an emotional seesaw every single day,Bipolar
918,"I struggle with object permanence; if I don't see something, I forget it exists",ADHD
919,I am constantly looking for signs of danger in my environment,PTSD
920,I have to repeat certain words or phrases in my head to feel calm,OCD
921,I feel like I'm invisible to the people around me,Depression
922,"I'm having trouble concentrating because of my racing, anxious thoughts",Anxiety
923,I feel like my life is balanced and I'm managing my responsibilities well,Normal
924,My depressive episodes are characterized by extreme fatigue and apathy,Bipolar
925,I have a hard time with impulse control and often say things I regret,ADHD
926,I feel like I can't trust my own mind anymore,PTSD
927,I have a need to confess every perceived mistake to my loved ones,OCD
928,I feel like I'm drowning in my own sadness,Depression
929,I have a fear of being in crowds that makes me avoid public events,Anxiety
930,I feel like I'm exactly where I need to be in my life,Normal
931,"My energy levels are unpredictable, making it hard to plan my life",Bipolar
932,I am often restless and have to be in constant motion,ADHD
933,I feel like I'm living in a constant state of fear,PTSD
934,I have to check that I haven't accidentally hurt someone when I'm driving,OCD
935,I feel like I'm a burden on everyone I know,Depression
936,I'm having trouble with my memory because of my high anxiety levels,Anxiety
937,"I feel like I'm thriving, not just surviving",Normal
938,I have a hard time distinguishing between my manic self and my 'real' self,Bipolar
939,I get overwhelmed by clutter and have trouble keeping my space tidy,ADHD
940,I feel like I'm disconnected from my own emotions,PTSD
941,I have to engage in rituals to prevent bad things from happening,OCD
942,I feel like I'm living life on autopilot,Depression
943,I'm so worried about what might happen that I'm afraid to leave my house,Anxiety
944,I feel a sense of deep gratitude for the good things in my life,Normal
945,I can go from feeling ecstatic to feeling suicidal in the same day,Bipolar
946,I have a hard time finishing projects because I get bored with them,ADHD
947,I feel like I'm always looking over my shoulder,PTSD
948,I have to have my things arranged perfectly or I feel out of control,OCD
949,I feel like my life lacks meaning and purpose,Depression
950,I'm having a hard time relaxing because I'm always on alert,Anxiety
951,I feel like I'm in a good mental state to handle challenges,Normal
952,My mind is a chaotic mess of half-formed ideas and racing thoughts,Bipolar
953,I have a hard time managing my time effectively and am often late,ADHD
954,I feel like my trauma has made me a person I don't recognize,PTSD
955,I have to reread my emails multiple times to make sure there are no mistakes,OCD
956,I feel like I'm carrying the weight of the world on my shoulders,Depression
957,I'm having trouble making decisions because I'm afraid of the consequences,Anxiety
958,I feel like I'm on the right track to achieving my goals,Normal
959,My mood can switch from one extreme to the other without any warning,Bipolar
960,I have a hard time with tasks that require sustained attention,ADHD
961,I feel like I'm constantly on the verge of tears,PTSD
962,I have a fear of germs and wash my hands obsessively,OCD
963,I feel like I'm in a dark tunnel with no light at the end,Depression
964,I'm so worried about what others think that I have a hard time being authentic,Anxiety
965,I feel a sense of joy and fulfillment from my relationships,Normal
966,My depressive lows are just as intense as my manic highs,Bipolar
967,I have a hard time with organization and often lose important things,ADHD
968,I feel like I'm living in a different world from everyone else,PTSD
969,I have to check and recheck that I've turned off all the lights before leaving,OCD
970,I feel like I'm a bad person who deserves to be unhappy,Depression
971,I'm having trouble with my appetite because of my anxiety,Anxiety
972,I feel like I'm in a good place emotionally and spiritually,Normal
973,My thoughts are so loud and intrusive that I can't focus on anything,Bipolar
974,I have a hard time with follow-through and often leave tasks unfinished,ADHD
975,I feel like my past has a permanent hold on my present,PTSD
976,I have a fear of contamination that makes it hard to eat in restaurants,OCD
977,I feel like I'm just a passenger in my own body,Depression
978,"I'm having trouble with my sleep, either sleeping too much or not at all",Anxiety
979,I feel like I'm living a life that is true to myself,Normal
980,My emotions are so extreme that they interfere with my daily functioning,Bipolar
981,I have a hard time with long-term projects and often give up,ADHD
982,"I feel like I'm constantly on the defensive, waiting for an attack",PTSD
983,I have to have my books sorted by author and publication date,OCD
984,I feel like I'm a burden to my friends and family,Depression
985,I'm having trouble with my focus because my mind keeps wandering to my worries,Anxiety
986,I feel like I'm making a positive impact on the world,Normal
987,"My mood is a pendulum, swinging from one extreme to the other",Bipolar
988,I have a hard time with tasks that are not stimulating or interesting,ADHD
989,I feel like I'm forever changed by what I've been through,PTSD
990,I have to make sure everything in my room is in its proper place before I can sleep,OCD
991,I feel like I'm living in a haze and can't think clearly,Depression
992,I'm having trouble with my digestion because of my constant stress,Anxiety
993,I feel a sense of purpose that drives me forward,Normal
994,"My energy is either boundless or non-existent, with no middle ground",Bipolar
995,I have a hard time with change and prefer to stick to what I know,ADHD
996,I feel like I'm always looking for an escape from my own mind,PTSD
997,I have a fear of things being out of order or asymmetrical,OCD
998,I feel like I'm at the end of my rope and have nothing left to give,Depression
999,I'm having trouble relaxing because my body is tense with anxiety,Anxiety
1000,I feel like I'm living an authentic and meaningful life,Normal
